Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text
1-1A,"Rose","Sterling silver rose.  Made by Halia",Halia,Bead,"Nature, Garden,Halia",TRUE,Material,"Sterling Silver",,,,,1-1A,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-1A.jpg,"Rose"
1-1B,"Flower Bouquet","Sterling silver flower bouquet.  Made by Halia",Halia,Bead,"Nature, Garden,Halia",TRUE,Material,"Sterling Silver",,,,,1-1B,6,shopify,2,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-1B.jpg,"Flower Bouquet"
1-1C,"Orchid ","Sterling silver orchid .  Made by Halia",Halia,Bead,"Nature, Garden,Halia",TRUE,Material,"Sterling Silver",,,,,1-1C,6,shopify,2,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-1C.jpg,"Orchid "
1-1D,"Sunflower","Sterling silver sunflower.  Made by Carlo Biagi",Carlo Biagi,Bead,"Nature, Garden,Carlo Biagi",TRUE,Material,"Sterling Silver",,,,,1-1D,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-1D.jpg,"Sunflower"
1-1E,"Daisy","Sterling silver daisy.  Made by Halia",Halia,Bead,"Nature, Garden,Halia",TRUE,Material,"Sterling Silver",,,,,1-1E,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-1E.jpg,"Daisy"
1-1F,"Edelweise","Sterling silver edelweise.  Made by Halia",Halia,Bead,"Nature, Garden,Halia",TRUE,Material,"Sterling Silver",,,,,1-1F,6,shopify,2,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-1F.jpg,"Edelweise"
1-1G,"Orchids","Sterling silver orchids.  Made by Novo",Novo,Bead,"Nature, Garden,Novo",TRUE,Material,"Sterling Silver",,,,,1-1G,6,shopify,1,deny,manual,30.6,51,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-1G.jpg,"Orchids"
1-1H,"Flower","Sterling silver flower.  Made by Carlo Biagi",Carlo Biagi,Bead,"Nature, Garden,Carlo Biagi",TRUE,Material,"Sterling Silver",,,,,1-1H,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-1H.jpg,"Flower"
1-1I,"Tulip","Sterling silver tulip.  Made by Chiyopia",Chiyopia,Bead,"Nature, Garden,Chiyopia",TRUE,Material,"Sterling Silver",,,,,1-1I,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-1I.jpg,"Tulip"
1-1J,"Spruce Tree","Sterling silver spruce tree.  Made by Carlo Biagi",Carlo Biagi,Bead,"Nature, Garden,Carlo Biagi",TRUE,Material,"Sterling Silver",,,,,1-1J,6,shopify,1,deny,manual,21.6,36,TRUE,TRUE,,http://cdn.shopify.com/s/files/1/0234/5347/files/1-1J.jpg,"Spruce Tree"
