Grid	Row Number	Column Letter	Quantitiy	Price	Retail Price	Brand	Description	Material	Tags
1	1	A	1	21.6	36	Halia	rose	sterling silver	nature
1	1	B	2	21.6	36	Halia	flower bouquet	sterling silver	nature
1	1	C	2	21.6	36	Halia	orchid	sterling silver	nature
1	1	D	1	21.6	36	Carlo Biagi	sunflower	sterling silver	nature
1	1	E	1	21.6	36	Halia	daisy	sterling silver	nature
1	1	F	2	21.6	36	Halia	edelweiss	sterling silver	nature
1	1	G	1	21.6	51	Novo	orchids	sterling silver	nature
1	1	H	1	21.6	36	Carlo Biagi	flower  	sterling silver	nature
1	1	I	1	21.6	36	Ohm	tulip	sterling silver	nature
1	1	J	1	21.6	36	Carlo Biagi	spruce tree	sterling silver	nature
1	2	A	1	21.6	36	Halia	sun burst	sterling silver	nature
1	2	B	2	21.6	36	Carlo Biagi	umbrella	sterling silver	nature
1	2	C	3	21.6	36	Carlo Biagi	rainbow	sterling silver	nature
1	2	D	2	21.6	36	Carlo Biagi	rose	sterling silver	nature
1	2	E	6	21.6	36	Halia	daisies	sterling silver	nature
1	2	F	1	21.6	36	*	four leaf clovers	sterling silver	nature
1	2	G	2	21.6	36	Halia	filegree flowers	sterling silver	nature
1	2	H	1	21.6	36	Carlo Biagi	small flowers	sterling silver	nature
1	2	I	2	21.6	36	Carlo Biagi	lotus flower band	sterling silver	nature
1	2	J	1	21.6	36	Ohm	daisies	sterling silver	nature
1	3	A	1	21.6	36	Moress	flowers	sterling silver	nature
1	3	B	1	21.6	47	Novo	flower and leaf	sterling silver	nature
1	3	C	1	21.6		Moress	flowers	sterling silver	nature
1	3	D	3	21.6	36	Carlo Biagi	flower basket	sterling silver	nature
1	3	E	1	31.2	52	Novo	flower bouquet	sterling silver	nature
1	3	F	1	31.2	52	Novo	mushrooms	sterling silver	nature
1	3	G	1	31.2	52	Novo	flower wreath	sterling silver	nature
1	3	H	2	21.6	36	Israelilink	dangle leaf	sterling silver	nature
1	3	I	1	21.6	36	Zable	floral bead	sterling silver	nature
1	3	J	2	21.6	36	Carlo Biagi	floral peace sign	sterling silver	nature
1	4	A	2	21.6	36	Ohm	mushroom house	sterling silver	nature
1	4	B	3	21.6	36	Carlo Biagi	mushroom	sterling silver	nature
1	4	C	2	21.6	36	Halia	acorn	sterling silver	nature
1	4	D	3	21.6	36	Ohm	acorn	sterling silver	nature
1	4	E	1	21.6	36	Zable	fern leaves	sterling silver	nature
1	4	F	1	21.6	36	Ohm	olive leaves*	sterling silver	nature
1	4	G	2	21.6	36	Ohm	maple leaves	sterling silver	nature
1	4	H	1	21.6	36	Ohm	fern 	sterling silver	nature
1	4	I	3	21.6	36	Carlo Biagi	leaves	sterling silver	nature
1	4	J	2	21.6	36	Carlo Biagi	ball of leaves	sterling silver	nature
1	5	A	1	21.6	36	Carlo Biagi	maple leaf	sterling silver	nature
1	5	B	2	21.6	36	Zable	owl in a tree	sterling silver	nature, animal, bird
1	5	C	2	21.6	36	Zable	bird in a tree	sterling silver	nature, animal, bird
1	5	D	1	21.6	36	Zable	watering can	sterling silver	flower, garden
1	5	E	1	21.6	36	Zable	leprechaun	sterling silver	fantasy, good luck charm
1	5	F	1	21.6	36	Zable	three leaf clover	sterling silver	nature
1	5	G	1	21.6	36	Zable	lg three leaf clover	sterling silver	nature
1	5	H	2	21.6	36	Carlo Biagi	three leaf clover	sterling silver	nature
1	5	I	1	21.6	36	Carlo Biagi	four leaf clover	sterling silver	nature
1	5	J	1	21.6	36	Halia	four leaf clover	sterling silver	nature
1	6	A	3	21.6	36	Halia	four leaf clover plain	sterling silver	nature
1	6	B	1	21.6	36	Zable	four leaf clover barrel	sterling silver	nature
1	6	C	1	21.6	36	Carlo Biagi	clover on shield	sterling silver	nature
1	6	D	1	21.6	36	Zable	floral	sterling silver	nature
1	6	E	1	21.6	36	Amore & Baci	flowers	sterling silver	nature
1	6	F	1	21.6	36	Zable	flowers	sterling silver	nature
1	6	G	1	21.6	36	Ohm	garden knome	sterling silver	nature
1	6	H	1	21.6	36	Zable	garden knome	sterling silver	nature
1	6	I	2	21.6	36	Ohm	garden fairy	sterling silver	nature
1	6	J	1	21.6	36	Carlo Biagi	garden fairy	sterling silver	nature
1	7	A	1	21.6	36	Carlo Biagi	garden fairy side view	sterling silver	nature
1	7	B	6	21.6	36	Zable	dragon fly & flowers	sterling silver	nature
1	7	C	3	21.6	36	Carlo Biagi	penguin	sterling silver	animals, nature
1	7	D	2	21.6	36	Carlo Biagi	owl	sterling silver 	animals, nature
1	7	E	3	21.6	36	Carlo Biagi	cartoon duck	sterling silver 	animals, nature
1	7	F	1	21.6	36	Carlo Biagi	rooster	sterling silver 	animals, nature
1	7	G	3	21.6	36	Ohm	wishing well	sterling silver	garden
1	7	H	2	28.8	48	Carlo Biagi	flower with red CZ	sterling silver & cubic zirconia	nature
1	7	I	3	28.8	48	Carlo Biagi	flower with purple CZ	sterling silver & cubic zirconia	nature
1	7	J	1	28.8	48	Carlo Biagi	daisy with red CZ	sterling silver & cubic zirconia	nature
2	1	A	1	28.8	48	Carlo Biagi	daisy with clear CZ	sterling silver & cubic zirconia	nature
2	1	B	2	28.8	48	Halia	flower block with clear CZ	sterling silver & cubic zirconia	nature
2	1	C	1	28.8	48	Halia	lacy flowers with clear CZ	sterling silver & cubic zirconia	nature
2	1	D	2	22.8	38	Halia	small flowers with clear CZ	sterling silver & cubic zirconia	nature
2	1	E	3	28.8	48	Carlo Biagi	flower with clear CZs	sterling silver & cubic zirconia	nature
2	1	F	2	28.8	48	Carlo Biagi	crescent moon and CZ stars	sterling silver & cubic zirconia	nature
2	1	G	3	28.8	48	Chamilia	chamilia flower, dark pink CZ	sterling silver & cubic zirconia	nature
2	1	H	1	28.8	48	Ohm	sweet pea with pink CZ	sterling silver & cubic zirconia	nature
2	1	I	1	28.8	48	Ohm	flower with center pink CZ	sterling silver & cubic zirconia	nature
2	1	J	1	28.8	48	Ohm	flower with center red CZ	sterling silver & cubic zirconia	nature
2	2	A	1	28.8	48	Ohm	flower with center clear CZ	sterling silver & cubic zirconia	nature
2	2	B	1	28.8	48	Ohm	flower with center blue CZ	sterling silver & cubic zirconia	nature
2	2	C	1	34.2	58	Carlo Biagi	pink CZ flower	sterling silver & cubic zirconia	nature
2	2	D	1	28.8	48	Carlo Biagi	dragonfly bead, clear & green CZs	sterling silver & cubic zirconia	nature
2	2	E	2	35.4	59	Chamilia	butterfly with pink CZs	sterling silver & cubic zirconia	nature
2	2	F	1	35.4	58	Carlo Biagi	bell flower with purple CZ dangle	sterling silver & cubic zirconia	nature
2	2	G	2	28.8	48	Halia	flowers and leaves with clear CZs	sterling silver & cubic zirconia	nature
2	2	H	2	28.8	48	Halia	daisy flowers with clear CZs	sterling silver & cubic zirconia	nature
2	2	I	3	34.2	57	Moress	pale blue enamel flower with dark swarovski	sterling silver, enamel & swarovski	nature
2	2	J	1	34.2	57	Moress	pale pink enamel flower with clear swarovski	sterling silver, enamel & swarovski	nature
2	3	A	1	36	60	Moress	stylized flower with red swarovski	sterling silver & swarovski	nature
2	3	B	1	36	60	Moress	stylized flower with black swarovski	sterling silver & swarovski	nature
2	3	C	1	36	60	Moress	stylized flower with pink swarovski	sterling silver & swarovski	nature
2	3	D	1	36	60	Moress	stylized flower with yellow swarovski	sterling silver & swarovski	nature
2	3	E	1	36	60	Moress	small flowers with pink swarovski	sterling silver & swarovski	nature
2	3	F	1	36	60	Moress	small flowers with red swarovski	sterling silver & swarovski	nature
2	3	G	2	36	60	Moress	small flowers with fushia swarovski	sterling silver & swarovski	nature
2	3	H	1	21.6	36	Amore & Baci	bird	sterling silver	animals, birds
2	3	I	1	25.8	43	Zable	enamel rainbow and clouds	sterling silver & enamel	nature
2	3	J	1	21.6	36	Carlo Biagi	eagle	sterling silver	animals, birds
2	4	A	3	25.8	43	Chamilia	pink enamel zinnia	sterling silver & enamel	nature
2	4	B	1	25.8	43	Chamilia	burgandy enamel zinnia	sterling silver & enamel	nature
2	4	C	2	21.6	36	Carlo Biagi	hen	sterling silver 	animals, birds
2	4	D	2	21.6	36	Amore & baci	dove	sterling silver	animals, birds
2	4	E	1	21.6	36	*	peacock	sterling silver	animals, birds
2	4	F	1	24	40	Moress	bird	sterling silver	animals, birds
2	4	G	1	21.6	36	Novo	penguins	sterling silver 	animals, birds
2	4	H	1	21.6	36	Novo	bird	sterling silver 	animals, birds
2	4	I	1	21.6	36	Zable	swan	sterling silver 	animals, birds
2	4	J	2	21.56	36	Zable	owl	sterling silver 	animals, birds
2	5	A	1	36	60	Moress	light blue enamel fern	sterling silver & enamel	nature
2	5	B	2	25.8	43	Zable	red enamel hibiscus	sterling silver & enamel	nature
2	5	C	1	36	60	Moress	light green enamel fern	sterling silver & enamel	nature
2	5	D	1	34.2	57	Moress	pink and purple enamel flowers	sterling silver & enamel	nature
2	5	E	1	34.2	57	Moress	purple and green enamel flower	sterling silver & enamel	nature
2	5	F	1	34.2	57	Moress	white enamel flower	sterling silver & enamel	nature
2	5	G	1	34.25	57	Moress	black enamel with silver flowers	sterling silver & enamel	nature
2	5	H	1	48	80	Moress	pale green enamel with silver flowers and pink swarovski	sterling silver, enamel & swarovski	nature
2	5	I	3	48	80	Moress	pale yellow enamel with silver flowers and yellow swarovski	sterling silver, enamel & swarovski	nature
2	5	J	2	48	80	Moress	pale yellow enamel with silver flowers and pink swarovski	sterling silver, enamel & swarovski	nature
2	6	A	1	48	80	Moress	beige enamel with silver flowers and pink swarovski	sterling silver, enamel & swarovski	nature
2	6	B	3	34.2	57	Moress	pale yellow enamel with silver tulips	sterling silver, enamel & swarovski	nature
2	6	C	1	34.2	57	Moress	pale pink enamel with silver tulips	sterling silver, enamel & swarovski	nature
2	6	D	2	34.2	57	Moress	turquoise enamel with silver tulip	sterling silver, enamel & swarovski	nature
2	6	E	4	48	80	Moress	enamel and swarovski daisy	sterling silver, enamel & swarovski	nature
2	6	F	2	52.8	88	Moress	pink enamel with silver flowers and yellow swarovski	sterling silver, enamel & swarovski	nature
2	6	G	1	52.8	88	Moress	pale blue enamel with silver flowers and clear swarovski	sterling silver, enamel & swarovski	nature
2	6	H	2	28.8	48	Chamilia	celebrations December birthstone, blue	sterling silver & cubic zirconia	birthstones
2	6	I	4	28.8	48	Chamilia	celebrations October birthstone, pink	sterling silver & cubic zirconia	birthstones
2	6	J	1	28.8	48	Chamilia	celebrations August birthstone, light green	sterling silver & cubic zirconia	birthstones
2	7	A	2	28.8	48	Chamilia	celebrations February birthstone, purple	sterling silver & cubic zirconia	birthstones
2	7	B	1	28.8	48	Chamilia	celebrations July birthstone, red	sterling silver & cubic zirconia	birthstones
