Grid	Row Number	Column Letter	Quantitiy	Price	Retail Price	Brand	Description	Material	Tags
1	1	A	1	21.6	36	Halia	Rose	Sterling Silver	Nature, Garden
1	1	B	2	21.6	36	Halia	Flower Bouquet	Sterling Silver	Nature, Garden
1	1	C	2	21.6	36	Halia	Orchid 	Sterling Silver	Nature, Garden
1	1	D	1	21.6	36	Carlo Biagi	Sunflower	Sterling Silver	Nature, Garden
1	1	E	1	21.6	36	Halia	Daisy	Sterling Silver	Nature, Garden
1	1	F	2	21.6	36	Halia	Edelweise	Sterling Silver	Nature, Garden
1	1	G	1	30.6	51	Novo	Orchids	Sterling Silver	Nature, Garden
1	1	H	1	21.6	36	Carlo Biagi	Flower	Sterling Silver	Nature, Garden
1	1	I	1	21.6	36	Chiyopia	Tulip	Sterling Silver	Nature, Garden
1	1	J	1	21.6	36	Carlo Biagi	Spruce Tree	Sterling Silver	Nature, Garden
1	2	A	1	21.6	36	Halia	Sun Busrt	Sterling Silver	Nature, Garden
1	2	B	2	21.6	36	Carlo Biagi	Umbrella	Sterling Silver	Nature, Garden
1	2	C	3	21.6	36	Carlo Biagi	Rainbow	Sterling Silver	Nature, Garden
1	2	D	2	21.6	36	Carlo Biagi	Rose	Sterling Silver	Nature, Garden
1	2	E	6	21.6	36	Halia	Daisies	Sterling Silver	Nature, Garden
1	2	F	1	21.6	36	Chiyopia	Four Leaf Clovers	Sterling Silver	Nature, Garden
1	2	G	2	21.6	36	Halia	Filegree Flowers	Sterling Silver	Nature, Garden
1	2	H	1	21.6	36	Carlo Biagi	Small Flowers	Sterling Silver	Nature, Garden
1	2	I	2	21.6	36	Carlo Biagi	Lotus Flower Band	Sterling Silver	Nature, Garden
1	2	J	1	30	30	Ohm	"Daisy Garden"	Sterling Silver	Nature, Garden
1	3	A	1	21.6	36	Moress	Flowers	Sterling Silver	Nature, Garden
1	3	B	1	28.2	47	Novo	Flower & Leaf	Sterling Silver	Nature, Garden
1	3	C	1	22.2	37	Novo	Flowers, "Growing Garden"	Sterling Silver	Nature, Garden
1	3	D	3	21.6	36	Carlo Biagi	Flower Baskety	Sterling Silver	Nature, Garden
1	3	E	1	31.2	52	Novo	Flower Bouquet	Sterling Silver	Nature, Garden
1	3	F	1	31.2	52	Novo	Mushrooms	Sterling Silver	Nature, Garden
1	3	G	1	31.2	52	Novo	Flower Wreath	Sterling Silver	Nature, Garden
1	3	H	2	21.6	36	Israelilink	Leaf Dangle	Sterling Silver	Nature, Garden
1	3	I	1	21.6	36	Zable	Floral Bead	Sterling Silver	Nature, Garden
1	3	J	2	21.6	36	Carlo Biagi	Floral Peace Sign	Sterling Silver	Nature, Garden
1	4	A	2	35	35	Ohm	Mushroom House	Sterling Silver	Nature, Garden
1	4	B	3	21.6	36	Carlo Biagi	Mushroom	Sterling Silver	Nature, Garden
1	4	C	2	21.6	36	Halia	Acorn	Sterling Silver	Nature, Garden
1	4	D	3	35	35	Ohm	Acorn	Sterling Silver	Nature, Garden
1	4	E	1	21.6	36	Zable	Fern Leaves	Sterling Silver	Nature, Garden
1	4	F	1	30	30	Ohm	"Olive Branch"	Sterling Silver	Nature, Garden
1	4	G	2	30	30	Ohm	"Maple Leaf"	Sterling Silver	Nature, Garden
1	4	H	1	30	30	Ohm	"Fern  Gully"	Sterling Silver	Nature, Garden
1	4	I	3	21.6	36	Carlo Biagi	Leaves	Sterling Silver	Nature, Garden
1	4	J	2	21.6	36	Carlo Biagi	Ball of Leaves	Sterling Silver	Nature, Garden
1	5	A	1	21.6	36	Carlo Biagi	Maple Leaf	Sterling Silver	Nature, Garden
1	5	B	2	21.6	36	Zable	Owl in a Tree	Sterling Silver	Nature, Animals
1	5	C	2	21.6	36	Zable	Bird in a Tree	Sterling Silver	Nature, Animals
1	5	D	1	21.6	36	Zable	Watering Can	Sterling Silver	Garden
1	5	E	1	21.6	36	Zable	Leprechaun	Sterling Silver	Fantasy, Good Luck
1	5	F	1	21.6	36	Zable	Three Leaf Clover	Sterling Silver	Nature, Garden
1	5	G	1	21.6	36	Zable	Large Three Leaf Clover	Sterling Silver	Nature, Garden
1	5	H	2	21.6	36	Carlo Biagi	Three Leaf Clover	Sterling Silver	Nature, Garden
1	5	I	1	21.6	36	Carlo Biagi	Four Leaf Clover	Sterling Silver	Nature, Garden
1	5	J	1	21.6	36	Halia	Four Leaf Clover	Sterling Silver	Nature, Garden, Good Luck
1	6	A	3	21.6	36	Halia	Four Leaf Clover, Plain	Sterling Silver	Nature, Garden, Good Luck
1	6	B	1	21.6	36	Zable	Four Leaf Clover, Barrel	Sterling Silver	Nature, Garden, Good Luck
1	6	C	1	21.6	36	Carlo Biagi	Clover on a Sheild	Sterling Silver	Nature, Garden
1	6	D	1	21.6	36	Zable	Floral	Sterling Silver	Nature, Garden
1	6	E	1	21.6	36	Amore & Baci	Flowers	Sterling Silver	Nature, Garden
1	6	F	1	21.6	36	Zable	Flowers	Sterling Silver	Nature, Garden
1	6	G	1	35	35	Ohm	Garden Gnome, "Mr. Gnome"	Sterling Silver	Nature, Garden
1	6	H	1	21.6	36	Zable	Garden Gnome	Sterling Silver	Nature, Garden
1	6	I	2	30	30	Ohm	"Forest Fairy"	Sterling Silver	Nature, Garden
1	6	J	1	21.6	36	Carlo Biagi	Garden Fairy	Sterling Silver	Nature, Garden
1	7	A	1	21.6	36	Carlo Biagi	Garden Fairy, Side View	Sterling Silver	Nature, Garden
1	7	B	6	21.6	36	Zable	Dragonfly & Flowers	Sterling Silver	Nature, Garden
1	7	C	3	21.6	36	Carlo Biagi	Penguin 	Sterling Silver	Nature, Animals
1	7	D	2	21.6	36	Carlo Biagi	Owl	Sterling Silver	Nature, Animals
1	7	E	3	21.6	36	Carlo Biagi	Cartoon Duck	Sterling Silver	Nature, Animals
1	7	F	1	21.6	36	Carlo Biagi	Rooster	Sterling Silver	Nature, Animals
1	7	G	3	40	40	Ohm	"Wishing Well"	Sterling Silver	Nature, Garden
1	7	H	2	28.8	48	Carlo Biagi	Flower with Red CZ	Sterling Silver & Cubic Zirconia	Nature, Garden, Cubic Zirconia
1	7	I	3	28.8	48	Carlo Biagi	Flower with Purple CZ	Sterling Silver & Cubic Zirconia	Nature, Garden, Cubic Zirconia
1	7	J	1	28.8	48	Carlo Biagi	Daisy with Red CZ	Sterling Silver & Cubic Zirconia	Nature, Garden, Cubic Zirconia
2	1	A	1	28.8	48	Carlo Biagi	Daisy with Clear CZ	Sterling Silver & Cubic Zirconia	Nature, Garden, Cubic Zirconia
